"pixel_x","pixel_y","cell_ID"
7587.7,-7161.4,"31x27"
7596.3,-7567.1,"31x29"
7587,-7962.4,"31x31"
7590.9,-8359,"31x33"
7588.7,-8766.5,"31x35"
7587.2,-9167.7,"31x37"
7579.1,-9565,"31x39"
7771.7,-2966.8,"32x6"
7779.4,-3372.9,"32x8"
7779.1,-3778.6,"32x10"
7781.3,-4171.5,"32x12"
7781.2,-4578.7,"32x14"
7778.5,-4965,"32x16"
7774.6,-5370.1,"32x18"
7774.3,-5764.2,"32x20"
7770.6,-6170.2,"32x22"
7778.2,-6559.8,"32x24"
7774.4,-6960.3,"32x26"
7779.8,-7361.7,"32x28"
7756.9,-7760.6,"32x30"
7768.7,-8158.4,"32x32"
7775,-8559.6,"32x34"
7772.4,-8963.7,"32x36"
7763.9,-9366.6,"32x38"
7755.7,-9762.4,"32x40"
7763.3,-10171.1,"32x42"
7946.3,-3176.4,"33x7"
7960,-3577.7,"33x9"
7962.1,-3975.8,"33x11"
7949.9,-4374.8,"33x13"
7967.7,-4768.9,"33x15"
7955.2,-5168.8,"33x17"
7962,-5572.2,"33x19"
7953.3,-5965.2,"33x21"
7961.1,-6377.2,"33x23"
7973.4,-6780.8,"33x25"
7970,-7166.3,"33x27"
7956.6,-7569.1,"33x29"
7968.1,-7960.4,"33x31"
7956.3,-8358.8,"33x33"
7949.1,-8767.1,"33x35"
7948.4,-9173.4,"33x37"
7940.4,-9566.7,"33x39"
7946.3,-9976.9,"33x41"
7945,-10374.3,"33x43"
8136.8,-3359.5,"34x8"
8141.8,-3757.7,"34x10"
8145.5,-4166.5,"34x12"
8132.1,-4552.7,"34x14"
8135.9,-4955.5,"34x16"
8139.1,-5354.6,"34x18"
8139.5,-5757.3,"34x20"
8131.4,-6161.4,"34x22"
8142.1,-6556.3,"34x24"
8133.4,-6962.5,"34x26"
8134.6,-7363.9,"34x28"
8129.7,-7760.5,"34x30"
8134.3,-8161.9,"34x32"
8127.2,-8560.2,"34x34"
8133.9,-8965.5,"34x36"
8126.9,-9367.8,"34x38"
8133.4,-9763.6,"34x40"
8132,-10172.9,"34x42"
8137.5,-10569.5,"34x44"
8324.2,-3563,"35x9"
8325.2,-3961.2,"35x11"
8323,-4355,"35x13"
8312.5,-4759,"35x15"
8324,-5160.8,"35x17"
8318.1,-5557.4,"35x19"
8311.4,-5957.1,"35x21"
8316.7,-6362.8,"35x23"
8316.8,-6758.7,"35x25"
8312.5,-7169.4,"35x27"
8326,-7562.6,"35x29"
8313.4,-7960.3,"35x31"
8308.1,-8359.5,"35x33"
8312.1,-8759.6,"35x35"
8310.8,-9164,"35x37"
8311.3,-9564.6,"35x39"
8320.4,-9963.9,"35x41"
8500.6,-3756.8,"36x10"
8504.5,-4157.3,"36x12"
8493,-4553.2,"36x14"
8495.4,-4953.6,"36x16"
8498.4,-5357.4,"36x18"
8504.1,-5755.2,"36x20"
8493.9,-6154.9,"36x22"
8488.7,-6556.6,"36x24"
8495.9,-6951.9,"36x26"
8508.6,-7363.5,"36x28"
8493.6,-7755.7,"36x30"
8493.6,-8155.3,"36x32"
8490.8,-8558.6,"36x34"
8500.6,-8962.4,"36x36"
8487.4,-9359.9,"36x38"
8491.8,-9764.4,"36x40"
8680.2,-3560.5,"37x9"
8682.1,-3960.5,"37x11"
8677.9,-4351.4,"37x13"
8674,-4749.6,"37x15"
8677.8,-5156.8,"37x17"
8678,-5555.5,"37x19"
8674,-5954.3,"37x21"
8676.7,-6360.8,"37x23"
8668.9,-6751.7,"37x25"
8672,-7156.8,"37x27"
8678.9,-7558.5,"37x29"
8675.5,-7958.1,"37x31"
8668.4,-8357.6,"37x33"
8672.9,-8757.1,"37x35"
8672.6,-9161.3,"37x37"
8666.6,-9565,"37x39"
8677.4,-9962.9,"37x41"
8856.7,-3758.3,"38x10"
8852.9,-4161.6,"38x12"
8852.7,-4566.9,"38x14"
8858.4,-4957.5,"38x16"
8855.3,-5363.1,"38x18"
8861,-5760,"38x20"
8850.2,-6160.6,"38x22"
8846.8,-6565,"38x24"
8856.6,-6963.3,"38x26"
8852.3,-7364.7,"38x28"
8841.1,-7759.6,"38x30"
8849.8,-8160.3,"38x32"
8853.2,-8552.2,"38x34"
8852.3,-8968.3,"38x36"
8848.8,-9367.6,"38x38"
8847.1,-9764.4,"38x40"
8855.4,-10166.2,"38x42"
9039.7,-3968.5,"39x11"
9027.7,-4363.8,"39x13"
9036.8,-4765.4,"39x15"
9023.3,-5163.2,"39x17"
9035.6,-5568.5,"39x19"
9030.2,-5965.9,"39x21"
9031.1,-6371.7,"39x23"
9028.8,-6765.3,"39x25"
9036.7,-7167.6,"39x27"
9023.9,-7571.8,"39x29"
9025.6,-7969.8,"39x31"
9032.8,-8359.8,"39x33"
9033,-8768.5,"39x35"
9031.8,-9172.8,"39x37"
9028.8,-9572.5,"39x39"
9031.9,-9979.9,"39x41"
9218.1,-3767.1,"40x10"
9227.2,-4162.8,"40x12"
9200.6,-4564.3,"40x14"
9215.3,-4971.5,"40x16"
9215.8,-5367.7,"40x18"
9220.4,-5767.6,"40x20"
9207.8,-6165.3,"40x22"
9206.8,-6566,"40x24"
9216.4,-6966.4,"40x26"
9210,-7367.2,"40x28"
9200.3,-7775.1,"40x30"
9207.5,-8167.3,"40x32"
9212.8,-8566.1,"40x34"
9216.9,-8971.7,"40x36"
9207.5,-9358.1,"40x38"
9207.5,-9777.7,"40x40"
9399.2,-3965.2,"41x11"
9385.8,-4358,"41x13"
9395.9,-4764.2,"41x15"
9389,-5166,"41x17"
9398.7,-5563.4,"41x19"
9389.6,-5961.5,"41x21"
9391.9,-6369.8,"41x23"
9398.2,-6764.4,"41x25"
9394,-7161.3,"41x27"
9389.4,-7568.2,"41x29"
9387.6,-7967.2,"41x31"
9388.8,-8369.4,"41x33"
9393.1,-8768.3,"41x35"
9392.1,-9173.5,"41x37"
9386,-9569.2,"41x39"
9586,-4167.5,"42x12"
9574.7,-4568.9,"42x14"
9576.5,-4968,"42x16"
9580,-5373.9,"42x18"
9583.3,-5773.8,"42x20"
9596.1,-6176,"42x22"
9574.4,-6567.2,"42x24"
9576.6,-6971.7,"42x26"
9577.3,-7360.1,"42x28"
9567.3,-7764.3,"42x30"
9570.4,-8163.8,"42x32"
9574.2,-8568.4,"42x34"
9576.2,-8968.6,"42x36"
9564.4,-9372.3,"42x38"
9753.9,-4371.9,"43x13"
9754.6,-4771,"43x15"
9756.1,-5170.9,"43x17"
9760.1,-5573.4,"43x19"
9749.6,-5971.7,"43x21"
9750.2,-6362.1,"43x23"
9755.6,-6773.2,"43x25"
9752.8,-7168.2,"43x27"
9751.8,-7563.8,"43x29"
9749.7,-7967.9,"43x31"
9750.8,-8362,"43x33"
9754.7,-8765.7,"43x35"
9750,-9168.2,"43x37"
9934,-4969,"44x16"
9939.2,-5371.9,"44x18"
9941.2,-5770.3,"44x20"
9908.7,-6173.2,"44x22"
9932.5,-6568.9,"44x24"
9937.6,-6965.5,"44x26"
9939.4,-7364.5,"44x28"
9930,-7768.2,"44x30"
9929.1,-8162.3,"44x32"
9933.5,-8568,"44x34"
10117.3,-5177.9,"45x17"
10118.9,-5576.8,"45x19"
10111.6,-5972.6,"45x21"
10109.7,-6375.5,"45x23"
10117.3,-6775.7,"45x25"
10119.4,-7163.9,"45x27"
10110.4,-7566.7,"45x29"
10112.9,-7964.4,"45x31"
10117.6,-8359,"45x33"
10115.4,-8768.7,"45x35"
10280.3,-5389.5,"46x18"
10294.1,-5795.4,"46x20"
10301.6,-6173.2,"46x22"
10298,-6571.4,"46x24"
10294.2,-6981,"46x26"
10301.6,-7380.3,"46x28"
10282.4,-7771.3,"46x30"
10286.1,-8175.8,"46x32"
10286.1,-8577,"46x34"
10485.5,-6373,"47x23"
10481.6,-6789.5,"47x25"
10480.2,-7180.3,"47x27"
10470.8,-7579.9,"47x29"
10467.5,-7973.7,"47x31"
10469.2,-8374.4,"47x33"
10655.9,-6580.4,"48x24"
10661,-6980.3,"48x26"
10658.8,-7380.2,"48x28"
10646,-7775.8,"48x30"
10647.6,-8172.6,"48x32"
10637.3,-8554.6,"48x34"
10836.5,-7177.4,"49x27"
10830.8,-7576.9,"49x29"
10827.4,-7971.2,"49x31"
10830.8,-8374.8,"49x33"
11014.8,-7369.9,"50x28"
11005.9,-7765.7,"50x30"
11004.6,-8171.5,"50x32"
