cell_1 cell_2 cell_3 cell_4 cell_5 cell_6 cell_7 cell_8 cell_9 cell_10 cell_11 cell_12 cell_13 cell_14 cell_15 cell_16 cell_17 cell_18 cell_19 cell_20 cell_21 cell_22 cell_23 cell_24 cell_25 cell_26 cell_27 cell_28 cell_29 cell_30 cell_31 cell_32 cell_33 cell_34 cell_35 cell_36 cell_37 cell_38 cell_39 cell_40 cell_41 cell_42 cell_43 cell_44 cell_45 cell_46 cell_47 cell_48 cell_49 cell_50 cell_51 cell_52 cell_53 cell_54 cell_55 cell_56 cell_57 cell_58 cell_59 cell_60 cell_61 cell_62 cell_63 cell_64 cell_65 cell_66 cell_67 cell_68 cell_69 cell_70 cell_71 cell_72 cell_73 cell_74 cell_75 cell_76 cell_77 cell_78 cell_79 cell_80 cell_81 cell_82 cell_83 cell_84 cell_85 cell_86 cell_87 cell_88 cell_89 cell_90 cell_91 cell_92 cell_93 cell_94 cell_95 cell_96 cell_97 cell_98 cell_99 cell_100 cell_101 cell_102 cell_103 cell_104 cell_105 cell_106 cell_107 cell_108 cell_109 cell_110 cell_111 cell_112 cell_113 cell_114 cell_115 cell_116 cell_117 cell_118
Emp2 0 0 0 0 0 0 2 0 2 1 0 0 0 0 4 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 2 0 0 0 0 0 2 2 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 2 1 0 0 0 0 0 2 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 2 0 0 2 0 0 0 1 0 2 0 2 0 0 1 0 0 2 2 0 0 0 0 1 0 2 0 0 2
Szrd1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 2 1 0 0 0 2 0 0 1 1 0 0 2 2 2 0 0 0 0 2 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 1 0 2 2 1 0 0 0 2 0 0 1 0 2 0 0 0 0 0 0 0 2
Utrn 3 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 0 1 0 0 0 2 0 0 2 0 0 0 2 0 0 1 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 2 0 1 0 0 0 1 0 0 2 0 0 0 0 0 0 0 2 0 0 0 1 0 0 2 0 1 0 0 0 0 1 0 0 0 0 1 2 1
Itih5 2 0 1 2 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 2 0 2 0 0 0 0 0 0 0 0 0 1 2 4 0 0 2 0 0 0 0 2 0 0 2 0 0 2 0 0 1 2 0 2 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 2 0 0 0 1 1 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 2 0 0 2 0 0 0 0 2 0 1 0 0 0 0 2 0 0 2 0 4
Naga 1 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 2 0 2 0 0 0 0 2 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 2 1 1 2 0 0 0 1 0 0 0 0 0 0 0 1 2 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 2 0 2 0 0 0 0 0 0 1 0 0 1 2
Plekhh3 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 2 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 2 1 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 2 2 2 0 2 0 2 0 0 1 0 0 0 0 2 0 0 0 1 2 1 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 4 0 0 0 0 0
Srebf1 1 0 0 2 1 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 2 1 0 0 0 0 0 1 2 0 0 0 1 2 1 0 1 0 0 0 0 0 0 0 0 1 2 0 0 0 0 1 1 0 0 0 0 3 1 0 1 0 2 2 0 0 0 0 0 0 2 0 0 0 0 0 2 1 0 0 2 0 0 0 0 0 0 2 2 1 0 0 0 2 1 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0
Aff1 2 0 2 0 2 0 0 1 1 0 0 0 0 0 2 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 2 0 0 0 0 1 0 0 0 2 1 1 0 0 0 3 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 2 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 2
Tbck 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 0 0 0 0 0 0 0 0 0 0 2 2 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 2 0 1 0 2 1 1 0 1 0 0 0 0 0
Ipp 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 2 2 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0
Sema4c 0 0 2 0 1 0 0 0 0 0 1 0 2 0 0 0 0 1 0 0 0 0 0 2 2 0 0 0 0 0 0 2 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 2 0 0 1 0 0 2 2 0 2 0 0 0 0 0 0 0 0 0 1 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 2 1 0 0 0 0 0 3 0 0 0 2 2
Ttyh2 0 1 1 2 0 2 0 0 0 0 0 1 0 0 1 0 0 0 2 2 0 0 1 1 4 0 1 0 2 1 0 2 1 0 0 3 5 0 0 0 0 0 2 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 1 2 2 0 0 2 0 0 0 0 0 0 0 2 0 1 0 1 0 0 1 0 1 0 0 0 0 0 0 0 2 0 2 0 0 1 0 1 2 4 1 0 1 0 0 1 0 2 1 0 2 1 2
Bcas1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 1 0 2 0 0 0 2 0 0 1 0 0 0 2 0 1 0 0 0 2 0 2 0 0 0 0 0 3 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 2 0 0 1 1 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 2 0 2 0 0 2 0 1 0 2 0 0 1 0 0 0
Gjb6 0 2 1 0 0 4 1 4 2 2 0 2 0 0 0 0 0 0 1 0 0 2 0 2 0 2 0 1 0 2 2 0 2 0 0 1 3 1 0 0 0 2 3 2 7 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 3 1 0 0 0 0 1 0 0 0 1 0 0 2 0 1 2 0 0 0 2 0 0 0 0 1 0 0 2 5
Bmp2 1 2 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 3 0 0 1 0 0 0 2 1 0 0 0 0 2 0 0 2 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 2 1 0 0 0 0 0 0 0 0 2 0 0 0 0 2 0 1 2 1 0 0 0 0 0 1 0 1 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
Prr18 0 0 2 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 2 0 1 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 2 0 0 2 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0
Carhsp1 0 0 1 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 2 0 1 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 2 1 0 0
Slc7a10 0 0 0 0 1 0 0 0 0 0 0 1 2 0 0 0 1 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 2 0 1 0 3 0 0 2 0 2 2 0 3 2 1 2 0 0 2 0 0 0 0 2 0 0 0 2 0 2 1 0 1 1 0 0 0 2 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 2 2 0 1 0 3 2 0 0 0 0 0 0 0 0 0 1 0 0 2 0 1
Zhx3 1 2 0 0 2 0 0 2 0 0 0 1 0 2 0 0 0 0 3 0 0 2 3 0 0 0 0 0 3 1 2 1 2 0 0 6 2 1 0 2 0 0 2 2 2 0 2 2 0 2 0 0 1 4 2 2 2 0 2 3 0 1 0 2 2 2 2 0 2 0 2 1 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 1 2 0 0 2 0 0 0 1 0 2 1 0 0 1 0 0 0 2 0 2 0 0 1 0 2 2 1 1
Tmem177 2 2 1 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 2 0 0 1 0 0 0 2 1 2 2 0 2 0 0 0 0 3 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 1 0 2 1 0 0 0 0 1 0 0 0
Prkab1 3 0 2 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 1 0 0 2 0 0 2 0 0
Nfya 0 0 0 0 0 0 0 0 2 0 0 1 0 1 2 0 2 0 0 0 2 1 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 2 0 2 0 0 0 0 0 0 0 0 2 0 0 0 0 2 1 0 1 2 0 2 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 1 0 0 1 0 0 0 0 1 0 1 1 2 0 0 0
Tmem104 2 0 0 0 0 0 0 2 0 2 0 0 0 2 1 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 2 2 2 0 0 0 1 0 0 0 2 1 0 3 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 2 1 0 0 0 2 0 0 0 0 0 0 0 2 1 0 0 0 0 0
Rhpn1 0 0 0 0 2 0 2 2 0 2 1 1 0 1 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 2 0 1 2 2 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
Cecr2 0 2 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 2 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 2
Engase 0 0 2 0 0 1 0 2 0 0 0 1 0 1 1 1 0 0 1 0 0 0 0 1 1 0 0 0 2 0 0 1 1 2 0 1 0 0 0 0 0 2 0 2 0 2 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 1 0 1 1 1 2 1 1 0 0 0 0 0 0 0 0 2 0 0 2 2 2 0 0 0 1 0 2 0 0 2 0 0 1 0 0 2 0 2 1 0 1 0 0 0 0 0 0 0 1 1 0 0 0
Dennd4c 0 0 0 2 2 0 0 0 2 0 0 0 0 2 2 0 0 0 0 2 0 0 0 0 0 0 2 1 0 0 1 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 2 2 1 0 0 0 0 1 0 2 3 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 2 0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
Kcnn3 2 0 2 0 0 0 2 1 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 2 2 0 1 0 2 0 0 0 0 1 0 0 0 0 0 0 3 2 1 0 0 0 0 0 0 1 0 2 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 2 2 0
Enpp6 0 2 0 0 0 2 1 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
Bak1 0 2 1 0 0 0 2 1 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 2 2 0 0 1 0 0 0 1 0 0 0 2 0 0 0 1 1 2 0 2 1 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 2 0 2 1 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 1 0 2 0 0 0 0 2 2 0 0 0 1
Pamr1 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 1 0 2 0 0 2 0 1 0 1 0
Fdxacb1 3 2 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 3 0 0 2 0 0 0 0 0 0 0 0 2 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 1 0 0 0 0 2 0 0 0 2 2 0 2 0 1 0 0 0 0 0 0 0 0 0 1 0 0 3 0 0 0 0 0 0 0 0 0 0 3 0 2 0 0 2 0 2 2 0 0 0 0 0 0 0 0 1 0 1 0 0 0
Pms1 0 0 0 0 0 0 1 1 0 0 1 0 0 0 1 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Gpr17 0 2 1 0 0 0 1 2 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 1 1 0 0 0 3 0 2 0 0 0 0 0 0 1 5 2 2 0 1 0 13 0 0 0 0 0 0 1 4 3 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 2 12 4 0 0 0 0 0 0 1 0 1 2 0 0
Rhbdf1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1
Maf 1 2 0 2 0 0 0 2 0 0 2 0 1 0 0 2 0 0 0 0 0 3 1 1 0 2 0 0 1 0 0 1 0 2 0 1 0 0 0 0 2 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 2 2 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 2 0 0 0 2 0 0 0 2 2 1 0 2 0 0 0
Jag2 3 0 0 0 0 2 3 1 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 2 0 0 1 0 1 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 2 0 0 0 0 0 0 0 0 2 0 1 1 0 0 0 0 2 0 0 0 0 2 0 2 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 1 2 0 0
Lhfpl2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 1 0 0 2 0 0 0 0 0 0 1 0 1 1 0 0 0 1 0 0 0 0 0 0 2 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 3 1 2 0
Cdca4 0 0 3 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 1 2 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 1 0 1 2 0 1 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 1 2 0 0 2 0 2
Zfp13 1 0 2 1 0 0 1 2 0 0 2 0 1 0 2 0 0 0 0 0 0 0 0 0 0 2 1 0 1 2 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 2 2 0 0 0 0 2 1 2 0 0 1 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 1 2 0 0 1 0 0 0 0 0 0
Zbed3 0 0 0 0 0 0 0 1 0 2 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 2 0 1 0 0 0 1 3 0 0 0 0 2 0 0 1 0 0 2 1 0 0 0 0 2 1 0 1 0 0 0 0 2 0 0 1 0 0 2 1 0 0 0 0 1 0 0 2 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 2 0 0 0 0 0 0
Tsen54 2 0 2 0 1 0 2 1 0 3 0 2 0 1 1 0 0 0 0 0 1 1 0 0 1 0 0 0 2 0 1 0 0 2 0 0 0 2 0 0 0 0 2 0 0 0 1 2 0 0 2 2 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 2 1 0 2 0 0 0 0 0 0 1 0 0 2 0 3 0 0 0 0 0 0 2 0 0 2 2 0 0 2 0 2 0 2 0 0 0 2 0 0 0 0 0 2 0 0 0 0
Zfp408 1 0 0 0 0 0 3 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 1 0 2 0 0 0 0 0 0 2 0 0 0 0 1 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0
Pcsk1 1 0 0 0 0 0 0 0 0 1 0 2 0 1 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 1 0 2 1 1 0 0 0 2 0 1 0 1 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0 2 2 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0
Krt79 0 0 2 0 0 1 1 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 2 1 0 2 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 1 0 1 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 1 0 1 2 0 2 0 2 0 1 0 0 0 0 0 1 0 0 0 2 0 2 1 0 1 2 0 2 0 0 0 0 0 0 2 0 0
Raver1 2 0 1 0 2 0 0 2 0 0 2 2 2 0 2 0 0 2 0 0 2 0 2 0 0 0 1 0 0 2 2 0 0 1 0 0 1 1 0 0 0 2 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 2 0 3 1 0 0 0 0 2 0 0 0 0 0 1 1 0 1 0 0 0 2 0 0 2 0 0 0 0 0 2 0 0 1 0 0 0 0 2 0 2 2 0 0 0 2 0 2 0 0 2 0 0 0
Rsad1 2 0 0 0 0 0 1 1 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 2 0 1 1 0 0 0 0 0 1 0 0 1 0 3 0 4 2 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 3 2 0 0 0 0 1 0 2 0 0 0 1 2 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 1 1 0 0 0 0 1 1 0 0 0
Poll 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 1 0 0 1 0 0 0 0 0 3 0 2 1 1 0 1 0 0 2 0 0 0 0 0 0 2 0 1 0 0 2 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 2 2 0 2 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0
Chac1 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 1 2 0 0 2 0 2 0 2 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 2 2 0 1 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Fchsd1 0 0 0 0 0 1 0 0 2 0 2 0 2 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 2 0 2 0 0 0 0 1 0 0 0 0 0 0 2 0 1 0 0 1 0 2 0 0 1 0 0 0 0 0 0 0 0 1 2 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
Afap1l1 1 1 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 2 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 1 2 0 0 0 0 0 0 2 0 0 3 0 1 1 2 0 0 0 0 1 0 0 0 0 0 2 0 0 0 2 0 1 0 0 2 1 0 0 1 2 1 0 0 2 0 2 0 2 0 0 0 0 0 0 0 2 0 1 6 2 2
Tns3 0 0 1 0 0 0 1 1 0 0 1 0 0 1 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 1 2 0 0 2 1 0 0 0 1 0 2 0 0 0 0 0 3 0 2 1 0 1 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 1 0 0 0 0 0
Zfp398 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 2 1 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 2 0 0 0 1 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 2 0 0 2 0 0 1 0 0 0 2 0 0 0 0 1 1 0 0 0
Galns 2 0 0 0 0 0 0 0 0 2 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 2 0 0 1 2 0 0 0 0 2 0 0 0 1 0 0 0 0 0 2 2 1 0 0 0 2 0 2 0 0 0 0 0 1 0 1 0 0 2 0 0 0 0 2 2 2 0 0 0
Zcchc24 2 0 0 0 0 2 3 2 0 2 1 0 0 2 2 0 2 0 0 0 0 0 0 1 0 0 0 1 0 1 0 1 0 0 0 1 1 0 2 0 0 0 0 0 2 0 2 2 0 0 2 2 0 2 1 0 0 2 0 2 0 0 0 0 0 0 3 1 0 0 2 0 0 1 2 0 0 0 0 1 0 1 0 0 1 1 0 0 0 0 1 2 0 1 1 0 0 0 0 0 2 0 0 0 0 2 0 1 0 3 0 0 1 2 1 2 0 3
