Event	Astro_ependymal	Cerebellum	Cholinergic_monoaminergic	Cortex_hippocampus_thalamus	Cortex_hippocampus	di_mesencephalon_1	di_mesencephalon_2	Ensheathing_satelliteGlia	Granule_neurons	Hindbrain	Immune	Medium_spiny_neurons	Neuroblasts_1	Neuroblasts_2	Olfactory_bulb	Oligo_dendrocyte	Peptidergic	Spinal_cord_1	Spinal_cord_2	Vascular
Zfhx4	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Fermt1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bmp3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ptpn4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4b	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tnf	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Rgs8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm11627	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hoxa3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Folr1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mustn1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Ppargc1a	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam19a1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lefty1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gsg1l	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mgp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Vat1l	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Galntl6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krt17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Rd3l	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Uncx	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfm2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Rab26os	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Gm26834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Usp28	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcp2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Tmem255a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Cck	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Calml4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kcnab1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
St8sia4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kcnd3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Igf2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Gng4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Igfbp6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sp9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Rnd1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yjefn3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pde6g	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Gm17750	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sall3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Vipr1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tex40	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Dact2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il23a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Cd74	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Cdkl4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Grp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Dlx6os1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Aqp4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ahcyl2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Tacr3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Ppp1r3g	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012B09Rik	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trhr	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hoxb8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Islr2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
RP24-236C17.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Scube1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rapsn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Hoxb5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Ccl7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Pcdh11x	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Sla	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pdzk1ip1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Sdc1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oxtr	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc5a7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cemip	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc18a2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mdga1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Gpr83	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Avp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Hoxb3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Slc6a13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Hes5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myh7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Crct1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
