index	louvain	Cai_mapping	cell_types	field
382	6	7	Interneuron3	1
383	1	2	Interneuron1	1
384	6	7	Interneuron3	1
385	20	21	Neuroblast5	1
386	15	16	Interneuron6	1
387	3	4	Interneuron2	1
388	13	14	Interneuron5	1
389	5	6	Neuroblast1	1
390	5	6	Neuroblast1	1
391	3	4	Interneuron2	1
392	6	7	Interneuron3	1
393	6	7	Interneuron3	1
394	13	14	Interneuron5	1
395	5	6	Neuroblast1	1
396	13	14	Interneuron5	1
397	1	2	Interneuron1	1
398	6	7	Interneuron3	1
399	3	4	Interneuron2	1
400	3	4	Interneuron2	1
401	18	19	Interneuron7	1
402	3	4	Interneuron2	1
403	1	2	Interneuron1	1
404	12	13	Interneuron4	1
405	13	14	Interneuron5	1
406	5	6	Neuroblast1	1
407	17	18	Neuroblast4	1
408	13	14	Interneuron5	1
409	18	19	Interneuron7	1
410	18	19	Interneuron7	1
411	0	1	Th+ Interneuron1	1
412	11	12	Endothelial	1
413	6	7	Interneuron3	1
414	6	7	Interneuron3	1
415	17	18	Neuroblast4	1
416	0	1	Th+ Interneuron1	1
417	15	16	Interneuron6	1
418	1	2	Interneuron1	1
419	5	6	Neuroblast1	1
420	7	8	Astrocytes1	1
421	3	4	Interneuron2	1
422	6	7	Interneuron3	1
423	11	12	Endothelial	1
424	9	10	Astrocytes2	1
425	17	18	Neuroblast4	1
426	1	2	Interneuron1	1
427	15	16	Interneuron6	1
428	4	5	Th+ Interneuron3	1
429	14	15	Neuroblast3	1
430	4	5	Th+ Interneuron3	1
431	3	4	Interneuron2	1
432	13	14	Interneuron5	1
433	12	13	Interneuron4	1
434	15	16	Interneuron6	1
435	1	2	Interneuron1	1
436	10	11	Neuroblast2	1
437	17	18	Neuroblast4	1
438	3	4	Interneuron2	1
439	4	5	Th+ Interneuron3	1
440	0	1	Th+ Interneuron1	1
441	19	20	Microglia	1
442	20	21	Neuroblast5	1
443	18	19	Interneuron7	1
444	9	10	Astrocytes2	1
445	0	1	Th+ Interneuron1	1
446	0	1	Th+ Interneuron1	1
447	4	5	Th+ Interneuron3	1
448	7	8	Astrocytes1	1
449	5	6	Neuroblast1	1
450	13	14	Interneuron5	1
