uniq_ID	Field_of_View	cell_types
cell_643	5	Neural Stem
cell_644	5	Neural Stem
cell_645	5	Excitatory neuron
cell_646	5	Neural Stem
cell_647	5	Neuroblast
cell_648	5	Neuroblast
cell_649	5	Neural Stem
cell_650	5	Neural Stem
cell_651	5	Neuroblast
cell_652	5	Excitatory neuron
cell_653	5	Neuroblast
cell_654	5	Neuroblast
cell_655	5	Astrocyte
cell_656	5	Neuroblast
cell_657	5	Neuroblast
cell_658	5	Neuroblast
cell_659	5	Astrocyte
cell_660	5	Neuroblast
cell_661	5	Neuroblast
cell_662	5	Ependymal
cell_663	5	Neural Stem
cell_664	5	Neural Stem
cell_665	5	Interneuron
cell_666	5	Microglia
cell_667	5	Ependymal
cell_668	5	Ependymal
cell_669	5	Ependymal
cell_670	5	Neuroblast
cell_671	5	Neuroblast
cell_672	5	Neural Stem
cell_673	5	Neuroblast
cell_674	5	Neuroblast
cell_675	5	Ependymal
cell_676	5	Neuroblast
cell_677	5	Endothelial
cell_678	5	Neuroblast
cell_679	5	Neuroblast
cell_680	5	Interneuron
cell_681	5	Neuroblast
cell_682	5	Neuroblast
cell_683	5	Endothelial
cell_684	5	Microglia
cell_685	5	Neural Stem
cell_686	5	Neuroblast
cell_687	5	Neuroblast
cell_688	5	Neuroblast
cell_689	5	Ependymal
cell_690	5	Neuroblast
cell_691	5	Neuroblast
cell_692	5	Excitatory neuron
cell_693	5	Neural Stem
cell_694	5	Neuroblast
cell_695	5	Neuroblast
cell_696	5	Ependymal
cell_697	5	Neuroblast
cell_698	5	Neuroblast
cell_699	5	Neural Stem
cell_700	5	Neuroblast
cell_701	5	Ependymal
cell_702	5	Ependymal
cell_703	5	Neuroblast
cell_704	5	Neuroblast
cell_705	5	Excitatory neuron
cell_706	5	Neuroblast
cell_707	5	Microglia
cell_708	5	Neuroblast
cell_709	5	Excitatory neuron
cell_710	5	Neuroblast
cell_711	5	Ependymal
cell_712	5	Neural Stem
cell_713	5	Ependymal
cell_714	5	Neuroblast
cell_715	5	Ependymal
cell_716	5	Neuroblast
cell_717	5	Excitatory neuron
cell_718	5	Microglia
cell_719	5	Neuroblast
cell_720	5	Excitatory neuron
cell_721	5	Neural Stem
cell_722	5	Neural Stem
cell_723	5	Interneuron
cell_724	5	Neural Stem
cell_725	5	Neural Stem
cell_726	5	Neuroblast
cell_727	5	Neuroblast
cell_728	5	Neural Stem
cell_729	5	Neural Stem
cell_730	5	Ependymal
cell_731	5	Neural Stem
cell_732	5	Neuroblast
cell_733	5	Neuroblast
cell_734	5	Microglia
cell_735	5	Neuroblast
cell_736	5	Neural Stem
cell_737	5	Neuroblast
cell_738	5	Neuroblast
cell_739	5	Microglia
cell_740	5	Neuroblast
cell_741	5	Neuroblast
cell_742	5	Neuroblast
cell_743	5	Neural Stem
cell_744	5	Neuroblast
cell_745	5	Neural Stem
cell_746	5	Neural Stem
cell_747	5	Neuroblast
cell_748	5	Neuroblast
cell_749	5	Neuroblast
cell_750	5	Neuroblast
cell_751	5	Neural Stem
cell_752	5	Neuroblast
cell_753	5	Neuroblast
cell_754	5	Neuroblast
cell_755	5	Neuroblast
cell_756	5	Neuroblast
cell_757	5	Neuroblast
cell_758	5	Neuroblast
cell_759	5	Excitatory neuron
cell_760	5	Neuroblast
cell_761	5	Neuroblast
cell_762	5	Interneuron
cell_763	5	Neural Stem
cell_764	5	Neuroblast
cell_765	5	Neural Stem
cell_766	5	Neuroblast
cell_767	5	Neural Stem
cell_768	5	Neuroblast
cell_769	5	Neuroblast
cell_770	5	Neuroblast
cell_771	5	Neural Stem
cell_772	5	Neuroblast
cell_773	5	Neuroblast
cell_774	5	Neuroblast
cell_775	5	Microglia
cell_776	5	Neuroblast
cell_777	5	Neuroblast
cell_778	5	Neural Stem
cell_779	5	Endothelial
cell_780	5	Neural Stem
cell_781	5	Neuroblast
cell_782	5	Neural Stem
cell_783	5	Neuroblast
cell_784	5	Neural Stem
cell_785	5	Neuroblast
cell_786	5	Oligodendrocyte
cell_787	5	Neural Stem
cell_788	5	Microglia
cell_789	5	Neuroblast
cell_790	5	Excitatory neuron
cell_791	5	Endothelial
cell_792	5	Neural Stem
cell_793	5	Microglia
cell_794	5	Neuroblast
cell_795	5	Astrocyte
cell_796	5	Neuroblast
cell_797	5	Neuroblast
cell_798	5	Neural Stem
cell_799	5	Oligodendrocyte
cell_800	5	Neural Stem
cell_801	5	Neural Stem
cell_802	5	Oligodendrocyte
cell_803	5	Neural Stem
cell_804	5	Neuroblast
cell_805	6	Choroid Plexus
cell_806	6	Choroid Plexus
cell_807	6	Choroid Plexus
cell_808	6	Choroid Plexus
cell_809	6	Choroid Plexus
cell_810	6	Choroid Plexus
cell_811	6	Choroid Plexus
cell_812	6	Choroid Plexus
cell_813	6	Choroid Plexus
cell_814	6	Endothelial
cell_815	6	Choroid Plexus
cell_816	6	Choroid Plexus
cell_817	6	Choroid Plexus
cell_818	6	Choroid Plexus
cell_819	6	Choroid Plexus
cell_820	6	Choroid Plexus
cell_821	6	Choroid Plexus
cell_822	6	Choroid Plexus
cell_823	6	Choroid Plexus
cell_824	6	Choroid Plexus
cell_825	6	Choroid Plexus
cell_826	6	Choroid Plexus
cell_827	6	Choroid Plexus
cell_828	6	Endothelial
cell_829	6	Choroid Plexus
cell_830	6	Choroid Plexus
cell_831	6	Choroid Plexus
cell_832	6	Choroid Plexus
cell_833	6	Choroid Plexus
cell_834	6	Choroid Plexus
cell_835	6	Choroid Plexus
cell_836	6	Choroid Plexus
cell_837	6	Choroid Plexus
cell_838	6	Choroid Plexus
cell_839	6	Choroid Plexus
cell_840	6	Choroid Plexus
cell_841	6	Choroid Plexus
cell_842	6	Choroid Plexus
cell_843	6	Choroid Plexus
cell_844	6	Choroid Plexus
cell_845	6	Choroid Plexus
cell_846	6	Choroid Plexus
cell_847	6	Choroid Plexus
cell_848	6	Choroid Plexus
