Field of View,Cell ID,X,Y
4,458,961.20,1140.80
4,459,934.70,360.99
4,460,913.60,1457.50
4,461,909.90,723.69
4,462,869.00,548.96
4,463,860.30,401.67
4,464,865.50,1751.00
4,465,859.60,649.14
4,466,816.10,590.47
4,467,786.20,1389.30
4,468,781.20,704.43
4,469,772.90,650.71
4,470,765.30,433.74
4,471,711.50,357.85
4,472,711.90,1526.80
4,473,697.50,748.14
4,474,652.90,611.71
4,475,613.30,1659.90
4,476,603.20,1058.50
4,477,605.30,1473.40
4,478,583.30,1352.40
4,479,573.50,1212.30
4,480,557.20,566.57
4,481,541.80,458.62
4,482,449.50,1568.40
4,483,446.70,1077.30
4,484,384.00,1467.00
4,485,375.30,1197.60
4,486,1666.09,874.41
4,487,1628.90,937.71
4,488,1586.91,516.36
4,489,1497.70,501.54
4,490,1497.83,1174.30
4,491,1481.80,1237.70
4,492,1468.47,1055.90
4,493,1451.26,806.82
4,494,1370.42,1270.60
4,495,1237.01,1335.00
4,496,948.70,1562.70
4,497,911.20,1059.20
4,498,833.50,932.93
4,499,805.40,1544.00
4,500,766.30,1081.00
4,501,760.40,847.99
4,502,727.00,639.03
4,503,644.10,1591.60
4,504,639.70,1749.50
4,505,534.50,1638.80
4,506,530.00,890.90
4,507,497.10,759.11
4,508,485.70,650.84
4,509,500.70,1727.90
4,510,451.70,872.21
4,511,383.60,767.46
4,512,1650.74,401.07
4,513,1091.88,258.56
4,514,907.10,230.15
4,515,889.50,1957.40
4,516,611.60,197.26
4,517,376.90,435.90
4,518,280.70,471.56
4,519,272.60,639.25
4,520,225.40,1129.90
4,521,176.00,296.98
4,522,165.50,456.62
4,523,143.70,1055.60
5,524,1608.43,1318.40
5,525,1603.79,1266.60
5,526,1361.59,874.55
5,527,1282.00,838.26
5,528,1269.52,664.49
5,529,1191.16,542.23
5,530,1167.20,570.19
5,531,1144.19,614.60
5,532,1086.92,1846.10
5,533,1078.47,1359.50
5,534,1070.01,575.12
5,535,1066.50,1386.10
5,536,1059.43,1333.20
5,537,1053.60,481.27
5,538,1039.80,659.27
5,539,1027.50,1532.60
5,540,1030.10,1864.60
5,541,1013.60,640.93
5,542,1009.20,1304.60
5,543,988.70,601.66
5,544,989.60,535.30
5,545,979.00,701.94
5,546,952.80,1249.30
5,547,940.60,566.20
5,548,941.10,1725.30
5,549,931.80,949.75
5,550,926.60,619.76
5,551,919.70,1559.40
5,552,882.70,558.61
5,553,873.40,1626.30
5,554,868.20,673.82
5,555,867.70,1694.50
5,556,852.60,1492.00
5,557,847.30,706.85
5,558,839.50,1576.20
5,559,835.10,520.72
5,560,838.30,581.50
5,561,824.40,1394.30
5,562,820.60,1332.60
5,563,791.00,1427.60
5,564,763.30,1454.80
5,565,735.10,821.13
5,566,711.00,1535.60
5,567,690.50,1480.80
5,568,684.50,1565.80
5,569,672.70,729.27
5,570,669.70,832.75
5,571,615.30,1008.00
5,572,1631.77,1381.40
5,573,1621.65,1350.50
5,574,1575.48,1237.80
5,575,1574.19,1282.80
5,576,1871.83,1341.30
5,577,1822.78,1462.60
5,578,1794.79,1640.80
5,579,1766.51,1609.40
5,580,1775.73,602.76
5,581,1758.66,1291.30
5,582,1738.45,1206.60
5,583,1722.30,682.44
5,584,1707.88,1354.50
5,585,1691.12,917.27
5,586,1677.69,1625.70
5,587,1640.84,1286.10
5,588,1619.95,560.14
