"V1" "V2" "V3"
"20767" 1026 602 58
"7587" 621 919 28
"25986" 233 864 73
"1844" 1144 1084 14
"4125" 724 1337 15
"21898" 823 163 62
"16904" 513 1331 48
"14083" 247 1301 49
"19990" 890 1380 56
"16188" 713 411 52
"19632" 932 583 66
"17271" 475 491 55
"7949" 471 488 32
"18648" 1491 687 58
"1910" 149 232 9
"11832" 415 1123 35
"20296" 604 1186 63
"7219" 607 433 35
"30058" 949 68 89
"14446" 144 4 49
"27795" 1239 608 78
"15240" 10 89 44
"12788" 1189 746 42
"8158" 1269 117 27
"29159" 372 63 86
"13291" 97 159 43
"18358" 308 418 57
"15353" 552 1415 45
"2086" 874 1229 16
"29530" 384 1069 86
"13497" 865 1062 46
"14297" 1133 417 41
"18620" 1328 1442 58
"30079" 1047 1107 86
"13326" 248 980 39
"4373" 126 876 24
"21340" 161 1002 77
"26820" 559 888 75
"25894" 1296 1164 71
"14272" 1054 119 41
"6782" 438 1033 22
"3796" 741 591 14
"766" 444 401 10
"16927" 627 1259 48
"16540" 604 1179 52
"19025" 1442 1498 53
"20343" 804 962 58
"9699" 1283 715 32
"19120" 297 1379 60
"30745" 620 387 91
"15034" 843 1187 51
"5799" 1094 497 19
"2373" 722 1410 17
"7262" 747 1236 28
"9960" 855 52 35
"30827" 961 194 90
"6322" 54 221 27
"8166" 1294 832 25
"15389" 717 107 44
"7696" 1063 427 24
"30147" 1247 1178 83
"1157" 652 463 23
"32676" 905 371 89
"9002" 33 1337 35
"1405" 698 5 15
"5966" 305 114 21
"6053" 684 23 26
"25482" 1171 522 70
"27289" 857 258 81
"6221" 1202 686 25
"27998" 633 536 82
"9869" 512 1455 36
"14702" 1079 317 42
"15231" 1655 1412 53
"2726" 816 1445 19
"29923" 348 1063 82
"24745" 1232 486 73
"17096" 1243 423 49
"16176" 655 1060 50
"31089" 509 151 85
"20822" 1213 1027 66
"33304" 1289 661 92
"15619" 1391 1388 51
"5024" 1098 674 17
"21051" 695 1112 64
"21282" 1489 607 59
"3855" 963 1256 17
"22866" 1586 1072 70
"24330" 1293 1519 74
"22476" 6 932 76
"730" 188 821 10
"23498" 1072 965 73
"24781" 1395 388 71
"28240" 74 149 85
"18862" 765 149 53
"20500" 1319 579 62
"32962" 1458 1139 90
"23751" 567 214 73
"26182" 1055 755 73
"26039" 488 757 78
"11366" 120 975 40
"27035" 1264 1440 79
"32760" 1380 1406 89
"12211" 311 1198 36
"11772" 119 313 35
"19420" 1466 1005 57
"2648" 542 667 11
"10117" 1386 952 35
"20006" 947 592 58
"19482" 234 1118 61
"16530" 526 1181 47
"25100" 1213 294 74
"29829" 1517 1341 81
"24692" 1065 1385 75
"23289" 166 370 66
"19489" 277 183 63
"30518" 1213 887 84
"4208" 966 890 19
"25020" 945 241 69
"21827" 547 140 67
"33223" 699 1067 92
